t_ms,error,left,right
105,0,100,100
204,-17,100,100
304,183,93,107
404,49,99,101
504,-271,110,90
604,-500,120,80
704,-256,110,90
804,105,96,104
904,70,98,102
1004,-146,105,95
1104,-282,111,89
1204,-249,109,91
1304,-46,101,99
1404,20,100,100
1504,-48,101,99
1604,-206,108,92
1704,-161,106,94
1804,-155,106,94
1904,-100,104,96
2004,48,99,101
2104,-66,102,98
2204,-209,108,92
2304,-138,105,95
2405,-291,111,89
2504,-239,109,91
2604,8,100,100
2705,27,99,101
2804,30,99,101
2904,100,96,104
3005,97,97,103
3104,15,100,100
3204,-187,107,93
3305,-157,106,94
3404,-85,103,97
3504,-87,103,97
3604,-120,104,96
3704,-149,105,95
3804,-260,110,90
3904,-59,102,98
4004,73,98,102
4104,-177,107,93
4204,-148,105,95
4304,-137,105,95
4404,-170,106,94
4504,78,97,103
4604,39,99,101
4704,-106,104,96
4804,-178,107,93
4904,-167,106,94
5004,-271,110,90
5104,-94,103,97
5204,148,95,105
5304,387,85,115
5404,271,90,110
5504,148,95,105
5605,81,97,103
5704,358,86,114
5804,801,58,122
5905,677,63,117
6004,485,81,119
6104,595,77,123
6205,680,63,117
6304,769,60,120
6404,952,52,128
6505,578,77,123
6604,260,90,110
6704,152,94,106
6804,146,95,105
6904,193,93,107
7004,340,87,113
7104,710,62,118
7204,945,53,127
7304,422,84,116
7404,203,92,108
7504,270,90,110
7604,471,82,118
7704,1041,49,131
7804,782,59,121
7904,234,91,109
8004,157,94,106
8104,122,96,104
8204,274,90,110
8304,674,64,116
8404,538,79,121
8504,-60,102,98
8604,71,98,102
8704,209,92,108
8805,1351,21,129
8904,1870,1,149
9004,1702,7,143
9105,1203,27,123
9204,786,59,121
9304,714,62,118
9405,991,51,129
9504,787,59,121
9604,476,81,119
9705,185,93,107
9804,45,99,101
9904,88,97,103
10004,113,96,104
10104,405,84,116
10204,352,86,114
10304,145,95,105
10404,21,100,100
10504,0,100,100
10604,115,96,104
10704,71,98,102
10804,43,99,101
10904,75,97,103
11004,193,93,107
11104,344,87,113
11204,216,92,108
11304,-58,102,98
11404,-172,106,94
11504,-248,109,91
11604,-26,101,99
11704,189,93,107
11804,170,94,106
11904,189,93,107
12005,236,91,109
12104,-842,123,57
12204,-551,122,78
12304,-60,102,98
12404,754,60,120
12504,583,77,123
12604,-176,107,93
12704,-576,123,77
12804,-333,113,87
12904,-140,105,95
13005,461,82,118
13104,124,96,104
13204,-159,106,94
13305,-297,111,89
13404,-171,106,94
13504,96,97,103
13605,245,91,109
13704,-132,105,95
13804,-217,108,92
13905,-400,116,84
14004,-315,112,88
14104,-193,107,93
14204,-45,101,99
14304,-229,109,91
14404,-150,106,94
14504,-298,111,89
14604,-136,105,95
14704,-14,100,100
14804,288,89,111
14904,-91,103,97
15004,-245,109,91
15104,-51,102,98
15204,12,100,100
15304,-113,104,96
15404,-82,103,97
15504,-44,101,99
15604,-118,104,96
15704,-135,105,95
15804,-134,105,95
15904,-283,111,89
16004,-165,106,94
16104,-205,108,92
16205,-193,107,93
16304,-179,107,93
16404,87,97,103
16505,-39,101,99
16604,29,99,101
16704,-46,101,99
16805,-220,108,92
16904,-103,104,96
17004,-93,103,97
17105,-120,104,96
17204,-85,103,97
17304,-25,101,99
17404,-80,103,97
17504,-214,108,92
17604,-214,108,92
17704,-316,112,88
17804,-210,108,92
17904,-95,103,97
18004,72,98,102
18104,-37,101,99
18204,-163,106,94
18304,-121,104,96
18404,-77,103,97
18504,-68,102,98
18604,-220,108,92
18704,-194,107,93
18804,-191,107,93
18904,-100,104,96
19004,374,86,114
19104,-84,103,97
19204,-114,104,96
19304,-167,106,94
19405,-189,107,93
19504,-175,107,93
19604,-162,106,94
19705,-105,104,96
19804,-78,103,97
19904,236,91,109
20005,-139,105,95
